Date,Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
2017-11-13 00:00:00+00:00,6559.490234375,6263249920,316.71600341796875,1041889984,1.0093499422073364,767884032,1.686619997024536,12238800
2017-11-14 00:00:00+00:00,6635.75,3197110016,337.6310119628906,1069680000,1.0068299770355225,429857984,1.592579960823059,7829600
2017-11-15 00:00:00+00:00,7315.5400390625,4200880128,333.35699462890625,722665984,1.0031800270080566,449671008,1.5304499864578247,7615500
2017-11-16 00:00:00+00:00,7871.68994140625,5123809792,330.92401123046875,797254016,1.002120018005371,650278976,1.5779199600219729,8928640
2017-11-17 00:00:00+00:00,7708.990234375,4651670016,332.3940124511719,621732992,1.001389980316162,639398016,1.5103600025177002,8508840
2017-11-18 00:00:00+00:00,7790.14990234375,3667190016,347.61199951171875,649638976,1.002310037612915,588136000,1.6743299961090088,32167300
2017-11-19 00:00:00+00:00,8036.490234375,3149319936,354.385986328125,1181529984,1.0024399757385254,485752992,1.6137700080871582,38081700
2017-11-20 00:00:00+00:00,8200.6396484375,3488450048,366.7300109863281,807027008,1.0019199848175049,449595008,1.6244499683380127,12994500
2017-11-21 00:00:00+00:00,8071.259765625,4277609984,360.4010009765625,949912000,0.996047019958496,622649024,1.5740599632263184,5440790
2017-11-22 00:00:00+00:00,8253.5498046875,3633530112,380.6520080566406,800819008,1.0001499652862549,499812000,1.6117500066757202,7177000
2017-11-23 00:00:00+00:00,8038.77001953125,4225179904,410.1659851074219,1845680000,0.9946309924125672,735883008,1.548699975013733,8392640
2017-11-24 00:00:00+00:00,8253.6904296875,5058610176,474.9110107421875,2292829952,1.00232994556427,848627968,1.717710018157959,12155400
2017-11-25 00:00:00+00:00,8790.919921875,4342060032,466.2760009765625,1422080000,1.0054099559783936,651987968,1.873870015144348,12839900
2017-11-26 00:00:00+00:00,9330.5498046875,5475579904,471.3299865722656,1197779968,1.008679986000061,636451968,1.8531299829483032,9056850
2017-11-27 00:00:00+00:00,9818.349609375,5653320192,480.3550109863281,1396480000,1.001289963722229,784436992,1.9429800510406492,22826600
2017-11-28 00:00:00+00:00,10058.7998046875,6348819968,472.9020080566406,1346499968,1.0001399517059326,794764032,1.917109966278076,36377700
2017-11-29 00:00:00+00:00,9888.6103515625,11568799744,427.5230102539063,2675940096,0.9906060099601746,1672120064,1.7515300512313845,43765500
2017-11-30 00:00:00+00:00,10233.599609375,8310689792,447.114013671875,1903040000,1.0081000328063965,1043969984,1.996970057487488,31559500
2017-12-01 00:00:00+00:00,10975.599609375,6783119872,466.5400085449219,1247879936,1.0097800493240356,749395968,2.070230007171631,28867200
2017-12-02 00:00:00+00:00,11074.599609375,5138500096,463.4490051269531,943649984,0.9996539950370787,679950016,2.084160089492798,24332700
2017-12-03 00:00:00+00:00,11323.2001953125,6608309760,465.8529968261719,990556992,1.0006599426269531,946748992,2.227250099182129,35163500
2017-12-04 00:00:00+00:00,11657.2001953125,6132409856,470.2040100097656,1005550016,1.0036699771881104,668510016,2.4916799068450928,41226200
2017-12-05 00:00:00+00:00,11916.7001953125,6895260160,463.281005859375,1216720000,1.0019700527191162,814145984,2.5952999591827397,49190000
2017-12-06 00:00:00+00:00,14291.5,12656300032,428.5880126953125,1998259968,1.009909987449646,1281490048,2.587690114974976,41731500
2017-12-07 00:00:00+00:00,17899.69921875,17950699520,434.4079895019531,2129570048,1.0316599607467651,1671609984,2.779949903488159,28297900
2017-12-08 00:00:00+00:00,16569.400390625,21135998976,456.031005859375,2336379904,1.0176000595092771,1993030016,2.830670118331909,38648500
2017-12-09 00:00:00+00:00,15178.2001953125,13911300096,473.50201416015625,2003849984,1.0171300172805786,1598909952,2.6104300022125244,27217000
2017-12-10 00:00:00+00:00,15455.400390625,13433299968,441.7210083007813,1404179968,1.0177500247955322,1649500032,2.483370065689087,19258500
2017-12-11 00:00:00+00:00,16936.80078125,12153900032,515.135986328125,1771440000,1.0185600519180298,1542119936,2.7066500186920166,19427000
2017-12-12 00:00:00+00:00,17415.400390625,14603799552,651.4310302734375,5179829760,1.0778800249099731,2240839936,2.6847500801086426,24523200
